Publisher Name,Type,Location,Country,Genres/Focus,Contact Email,Phone,Address,Website,Submissions Email,Annual Output,Has Audiobooks,Priority Tier,Notes
Girl Friday Books,Traditional,Seattle WA,USA,"Fiction and nonfiction, diverse",Via website,N/A,WA,girlfridaybooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Seattle imprint"
SparkPress,Hybrid,USA,USA,"Women's fiction, memoir",Via website,N/A,N/A,gosparkpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"She Writes sister"
Mandala Publishing,Traditional,San Rafael CA,USA,"Illustrated books, mindfulness, children's",Via website,N/A,CA,mandalapublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Insight Editions sister"
Redleaf Press,Traditional,St. Paul MN,USA,"Early childhood education",Via website,N/A,MN,redleafpress.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"ECE specialist"
Gryphon House,Traditional,USA,USA,"Early childhood education",Via website,N/A,N/A,gryphonhouse.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"ECE publisher"
Free Spirit Publishing,Traditional,Minneapolis MN,USA,"Children's self-help, education",Via website,N/A,MN,freespirit.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Kids self-help"
Magination Press,Traditional,Washington DC,USA,"Children's mental health",Via website,N/A,DC,maginationpress.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"APA imprint"
Albert Whitman,Traditional,Park Ridge IL,USA,"Children's picture books, chapter books",Via website,N/A,IL,albertwhitman.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1919"
Peachtree Publishing,Traditional,Atlanta GA,USA,"Children's and YA",Via website,N/A,GA,peachtreebooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"SE regional"
Familius,Traditional,USA,USA,"Family, parenting, children's",Via website,N/A,N/A,familius.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Family focus"
Page Turner Press and Media,Traditional,USA,USA,"Fiction and nonfiction",Via website,N/A,N/A,pageturnerpresspublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Diverse genres"
Palmetto Publishing,Hybrid,South Carolina,USA,"All genres",Via website,N/A,SC,palmettopublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Southern hybrid"
Mascot Books,Hybrid,Herndon VA,USA,"Children's, sports, memoir",Via website,N/A,VA,mascotbooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Amplify imprint"
BookBaby,Self-Publishing,USA,USA,"All genres",Via website,N/A,N/A,bookbaby.com,Via website,Unlimited,Author choice,Medium,"Self-pub services"
IngramSpark,Self-Publishing,USA,USA,"All genres",Via website,N/A,N/A,ingramspark.com,Via website,Unlimited,Author choice,Medium,"Self-pub distribution"
Regal House Publishing,Traditional,North Carolina,USA,"Literary fiction, narrative nonfiction",Via website,N/A,NC,regalhousepublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"NC literary"
Regal Publishing,Traditional,USA,USA,"Fiction and nonfiction",Via website,N/A,N/A,regalpublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Independent"
Atmosphere Press,Hybrid,USA,USA,"Fiction and nonfiction",Via website,N/A,N/A,atmospherepress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Hybrid model"
Adelaide Books,Traditional,NYC,USA,"Literary fiction, memoirs, creative nonfiction",Via website,N/A,NYC,adelaidebooks.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"NYC literary"
Alternative Book Press,Traditional,USA,USA,"Fiction and nonfiction",Via website,N/A,N/A,alternativebookpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Alternative culture"
Assure Press,Traditional,USA,USA,"Poetry, fiction, nonfiction",Via website,N/A,N/A,assurepress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Literary indie"
The 87 Press,Traditional,USA,USA,"Poetry, fiction, nonfiction, underrepresented",Via website,N/A,N/A,the87press.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Diverse voices"
11:11 Press,Traditional,Minneapolis MN,USA,"Innovative literature",Via website,N/A,MN,1111press.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2018"
Jaded Ibis Press,Traditional,USA,USA,"Social justice fiction and nonfiction",Via website,N/A,N/A,jadedibispress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Social justice"
Clash Books,Traditional,USA,USA,"Fiction, nonfiction, poetry",Via website,N/A,N/A,clashbooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2015"
Dalkey Archive Press,Nonprofit,USA,USA,"Avant-garde literature, translations",Via website,N/A,N/A,dalkeyarchive.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Nonprofit literary"
Creative Texts Publishers,Traditional,USA,USA,"History, biography, nonfiction",Via website,N/A,N/A,creativetexts.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"History focus"
Texas Review Press,Academic,Texas,USA,"Poetry, fiction",Via website,N/A,TX,texasreviewpress.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Sam Houston State"
Wesleyan University Press,Academic,Connecticut,USA,"Poetry, music, dance",Via website,N/A,CT,wesleyan.edu/wespress,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1957"
Woodhall Press,Traditional,Connecticut,USA,"Poetry, fiction, nonfiction",Via website,N/A,CT,woodhallpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Women/underrepresented"
Tiny Ghost Press,Traditional,USA,USA,"YA LGBTQIA+ fiction",Via website,N/A,N/A,tinyghostpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"LGBTQ+ YA"
Dzanc Books,Nonprofit,Michigan,USA,"Literary fiction and nonfiction",Via website,N/A,MI,dzancbooks.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2006"
Ugly Duckling Presse,Nonprofit,Brooklyn NY,USA,"Poetry, translation, experimental",Via website,N/A,NY,uglyducklingpresse.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Nonprofit press"
Akashic Books Noir Series,Traditional,Brooklyn NY,USA,"Noir anthologies, crime fiction",Via website,N/A,NY,akashicbooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"City noir series"
Soho Crime,Traditional,NYC,USA,"International crime fiction",Via website,N/A,NYC,sohopress.com,Via website,N/A,Some,Medium,"Soho imprint"
Poisoned Pen Press,Traditional,USA,USA,"Mystery, crime fiction",Via website,N/A,N/A,poisonedpenpress.com,Via website,N/A,Some,Medium,"Sourcebooks imprint"
Midnight Ink,Traditional,Minnesota,USA,"Mystery, crime fiction",Via website,N/A,MN,midnightinkbooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Llewellyn imprint"
Oceanview Publishing,Traditional,Florida,USA,"Mystery, thriller",Via website,N/A,FL,oceanviewpub.com,Via website,N/A,Some,Medium,"Mystery specialist"
Seventh Street Books,Traditional,USA,USA,"Crime fiction",Via website,N/A,N/A,seventhstreetbooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Start Media"
Down & Out Books,Traditional,USA,USA,"Crime fiction, noir",Via website,N/A,N/A,downandoutbooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Crime specialist"
Polis Books,Traditional,USA,USA,"Crime, thriller, mystery",Via website,N/A,N/A,polisbooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Crime/thriller"
Shotgun Honey,Traditional,USA,USA,"Crime fiction, noir",Via website,N/A,N/A,shotgunhoney.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Noir specialist"
All Due Respect Books,Traditional,USA,USA,"Noir, crime fiction",Via website,N/A,N/A,allduerespecthbooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Down & Out imprint"
Dark House Press,Traditional,USA,USA,"Horror, crime, dark fiction",Via website,N/A,N/A,darkhousepress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Dark fiction"
Pandamoon Publishing,Traditional,USA,USA,"Fiction and nonfiction",Via website,N/A,N/A,pandamoonpublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Indie publisher"
Vesuvian Books,Traditional,USA,USA,"Fiction and nonfiction",Via website,N/A,N/A,vesuvianmedia.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Vesuvian Media"
Snowy Owl Press,Traditional,USA,USA,"Fiction and nonfiction",Via website,N/A,N/A,snowyowlpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Indie publisher"
Owl Hollow Press,Traditional,USA,USA,"MG and YA fiction",Via website,N/A,N/A,owlhollowpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Children's/YA"
Wise Ink Creative Publishing,Hybrid,Minneapolis MN,USA,"Fiction and nonfiction",Via website,N/A,MN,wiseink.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"MN hybrid"
Black Lawrence Press,Traditional,Pittsburgh PA,USA,"Poetry, fiction, nonfiction",Via website,N/A,PA,blacklawrencepress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Literary indie"
Tupelo Press,Nonprofit,Massachusetts,USA,"Poetry, fiction",Via website,N/A,MA,tupelopress.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Nonprofit poetry"
Sarabande Books,Nonprofit,Louisville KY,USA,"Poetry, fiction, essays",Via website,N/A,KY,sarabandebooks.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1994"
Persea Books,Traditional,NYC,USA,"Poetry, literary fiction, essays",Via website,N/A,NYC,perseabooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Literary indie"
Alice James Books,Nonprofit,Maine,USA,"Poetry",Via website,N/A,ME,alicejamesbooks.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Poetry cooperative"
Red Hen Press,Traditional,Pasadena CA,USA,"Poetry, fiction, nonfiction",Via website,N/A,CA,redhen.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1994"
Omnidawn,Traditional,California,USA,"Poetry, fiction",Via website,N/A,CA,omnidawn.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Innovative writing"
Action Books,Traditional,Indiana,USA,"Poetry, translation",Via website,N/A,IN,actionbooks.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Poetry in translation"
Ahsahta Press,Academic,Idaho,USA,"Poetry",Via website,N/A,ID,ahsahtapress.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Boise State"
Anhinga Press,Traditional,Florida,USA,"Poetry",Via website,N/A,FL,anhingapress.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1974"
Barrow Street Press,Traditional,NYC,USA,"Poetry",Via website,N/A,NYC,barrowstreet.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Poetry press"
Belle Point Press,Traditional,Arkansas,USA,"Poetry, fiction, literary",Via website,N/A,AR,bellepointpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Arkansas indie"
BkMk Press,Academic,Missouri,USA,"Poetry, fiction",Via website,N/A,MO,newletters.org/bkmkpress,Via website,N/A,NO AUDIOBOOKS,TIER 1,"UMKC press"
Broadstone Books,Traditional,Kentucky,USA,"Poetry",Via website,N/A,KY,broadstonebooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Poetry press"
C&R Press,Traditional,USA,USA,"Poetry, fiction, nonfiction",Via website,N/A,N/A,crpress.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Literary indie"
Carnegie Mellon University Press,Academic,Pittsburgh PA,USA,"Poetry, fiction",Via website,N/A,PA,cmu.edu/universitypress,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Academic poetry"
Curbstone Books,Traditional,Illinois,USA,"Poetry, fiction, nonfiction",Via website,N/A,IL,curbstone.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Northwestern imprint"
Diode Editions,Traditional,USA,USA,"Poetry",Via website,N/A,N/A,diodeeditions.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Poetry press"
Etruscan Press,Traditional,Ohio,USA,"Poetry, fiction, nonfiction",Via website,N/A,OH,etruscanpress.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Literary indie"
Eyewear Publishing,Traditional,UK,UK,"Poetry, fiction",Via website,N/A,UK,eyewearpublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"UK poetry"
Finishing Line Press,Traditional,Kentucky,USA,"Poetry chapbooks and full-length",Via website,N/A,KY,finishinglinepress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Poetry chapbooks"
Graywolf Poetry,Nonprofit,Minneapolis MN,USA,"Poetry",Via Graywolf,N/A,MN,graywolfpress.org,Via Graywolf,N/A,NO AUDIOBOOKS,TIER 1,"Graywolf imprint"
Kaya Press,Traditional,Los Angeles CA,USA,"Asian diaspora literature",Via website,N/A,CA,kaya.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Asian diasporic"
Kelsey Street Press,Nonprofit,California,USA,"Women's innovative writing",Via website,N/A,CA,kelseystreetpress.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Women's press"
Les Figues Press,Nonprofit,Los Angeles CA,USA,"Experimental literature",Via website,N/A,CA,lesfigues.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Experimental"
Litmus Press,Nonprofit,Brooklyn NY,USA,"Poetry, translations",Via website,N/A,NY,litmuspress.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Poetry translations"
LSU Press,Academic,Louisiana,USA,"Poetry, fiction, Southern",Via website,N/A,LA,lsupress.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Louisiana State"
Lynx House Press,Traditional,Washington,USA,"Poetry",Via website,N/A,WA,lynxhousepress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Poetry press"
Marick Press,Traditional,Michigan,USA,"Poetry",Via website,N/A,MI,marickpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Poetry press"
Measure Press,Traditional,USA,USA,"Poetry",Via website,N/A,N/A,measurepress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Poetry press"
Milkweed Poetry,Nonprofit,Minneapolis MN,USA,"Poetry",Via Milkweed,N/A,MN,milkweed.org,Via Milkweed,N/A,NO AUDIOBOOKS,TIER 1,"Milkweed imprint"
New Directions,Traditional,NYC,USA,"Poetry, fiction, translations",Via website,N/A,NYC,ndbooks.com,Via website,N/A,Some,Medium,"Classic indie"
Nightwood Editions,Traditional,Canada,Canada,"Poetry, fiction",Via website,N/A,BC,nightwoodeditions.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Canadian poetry"
Penguin Poets,Traditional,NYC,USA,"Poetry",Via agent,N/A,NYC,penguinrandomhouse.com,Agent required,N/A,Some,Low,"PRH imprint"
Persea Poetry,Traditional,NYC,USA,"Poetry",Via website,N/A,NYC,perseabooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Persea imprint"
Sixteen Rivers Press,Traditional,California,USA,"Poetry",Via website,N/A,CA,sixteenrivers.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Poetry collective"
Spuyten Duyvil,Traditional,NYC,USA,"Poetry, fiction, essays",Via website,N/A,NYC,spuytenduyvil.net,Via website,N/A,NO AUDIOBOOKS,TIER 1,"NYC indie"
Tavern Books,Traditional,Oregon,USA,"Poetry, translations",Via website,N/A,OR,tavernbooks.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Poetry press"
Tinderbox Editions,Traditional,USA,USA,"Poetry",Via website,N/A,N/A,tinderboxeditions.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Poetry press"
Two Lines Press,Nonprofit,San Francisco CA,USA,"Literary translations",Via website,N/A,CA,twolinespress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Translations"
Word Works,Nonprofit,Washington DC,USA,"Poetry",Via website,N/A,DC,wordworksbooks.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1974"
Zephyr Press,Traditional,Massachusetts,USA,"Poetry, translations",Via website,N/A,MA,zephyrpress.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Poetry translations"
Zone 3 Press,Academic,Tennessee,USA,"Poetry, fiction",Via website,N/A,TN,zone3press.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Austin Peay State"
Blue River Press,Traditional,Indianapolis IN,USA,"Sports, health, fitness, education, travel",Via website,N/A,IN,blueriverpress.com,Via website,100+,NO AUDIOBOOKS,TIER 1,"Cardinal distribution"
Mountaineers Books,Traditional,Seattle WA,USA,"Outdoor adventure, climbing, hiking",Via website,N/A,WA,mountaineers.org/books,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Environmental sustainability"
Lyons Press,Traditional,Connecticut,USA,"Outdoor sports, recreation",Via website,N/A,CT,lyonspress.com,Via website,N/A,Unknown,High,"40+ years experience"
Stackpole Books,Traditional,Pennsylvania,USA,"Outdoor sports, fishing, hunting",Via website,N/A,PA,stackpolebooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Outdoor literature"
Wilderness Press,Traditional,Alabama,USA,"Hiking guides, outdoor enthusiasts",Via website,N/A,AL,wildernesspress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"50+ years"
Triumph Books,Traditional,Chicago IL,USA,"Sports, NFL, NBA, MLB, NHL",Via website,N/A,IL,triumphbooks.com,Via website,N/A,Some,Medium,"Since 1989"
Fox Chapel Publishing,Traditional,Pennsylvania,USA,"Sports, outdoor, crafts, woodworking",Via website,N/A,PA,foxchapelpublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Outdoor enthusiasts"
Coaches Choice,Traditional,California,USA,"Sports coaching, athletics",Via website,N/A,CA,coacheschoice.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1997"
Phaidon Press,Traditional,UK/USA,UK/USA,"Art, design, architecture, food, photography",Via website,N/A,UK/USA,phaidon.com,Via website,N/A,Unknown,High,"Global creative arts"
TASCHEN,Traditional,Germany,Germany,"Art, architecture, design, photography",Via website,N/A,Germany,taschen.com,Via website,N/A,Unknown,High,"World's leading fine art"
Rizzoli New York,Traditional,NYC,USA,"Fashion, design, art, architecture",Via website,N/A,NYC,rizzoliusa.com,Via website,N/A,Unknown,High,"Since 1974"
Hatje Cantz,Traditional,Germany,Germany,"Photography, art, architecture, design",Via website,N/A,Germany,hatjecantz.de,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1945"
Prestel Publishing,Traditional,Germany/USA,Germany/USA,"Art, design, architecture, photography",Via website,N/A,Germany/USA,prestel.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Random House since 2008"
ORO Editions,Traditional,California,USA,"Architecture, urbanism, art photography",Via website,N/A,CA,oroeditions.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Award-winning illustrated"
Art / Books,Traditional,London,UK,"Design, photography, art, architecture",Via website,N/A,UK,artbooks.co.uk,Via website,N/A,NO AUDIOBOOKS,TIER 1,"UK independent"
Smallworks Press,Traditional,Las Vegas NV,USA,"Art, photography, design, architecture",Via website,N/A,NV,smallworkspress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Las Vegas indie"
Actar Publishers,Traditional,Barcelona,Spain,"Architecture, graphic design, contemporary art",Via website,N/A,Spain,actar.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Barcelona-based"
Mörel Books,Traditional,London,UK,"Art, photography books",Via website,N/A,UK,morelbooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Innovative books"
powerHouse Books,Traditional,Brooklyn NY,USA,"Art, photography, illustrated",Via website,N/A,NY,powerhousebooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"High-end illustrated"
Monacelli Press,Traditional,NYC,USA,"Architecture, art, design, photography",Via website,N/A,NYC,monacellipress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1994"
ACC Art Books,Traditional,UK,UK,"Visual culture, fashion, architecture",Via website,N/A,UK,accartbooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1966"
Counter Print Books,Traditional,UK,UK,"Art, design books",Via website,N/A,UK,counter-print.co.uk,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Indie bookshop/publisher"
Gestalten,Traditional,Berlin,Germany,"Visual culture, design, lifestyle",Via website,N/A,Germany,gestalten.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Cutting-edge visual"
D.A.P./Artbook,Distributor,NYC,USA,"Art books distributor and publisher",Via website,N/A,NYC,artbook.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Distributed Art Publishers"
Pendragon Press,Academic,Massachusetts,USA,"Music, musicology",Via website,N/A,MA,pendragonpress.com,Physical submissions,N/A,NO AUDIOBOOKS,TIER 1,"Music specialist"
Interlink Publishing,Traditional,Massachusetts,USA,"World culture, music, children's",Via website,N/A,MA,interlinkbooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"1000+ books"
Moon Travel Guides,Traditional,USA,USA,"Travel guides comprehensive",Via website,N/A,N/A,moon.com,Via website,N/A,Unknown,High,"Comprehensive guides"
Old Harbour Press,Traditional,North Carolina,USA,"Travel, cross-cultural literature",Via website,N/A,NC,oldharbourpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Newly established"
Homestead Publishing,Traditional,Wyoming,USA,"Travel, hiking guides, natural history",Via website,N/A,WY,homesteadpublishing.net,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Wyoming-based"
Torrey House Press,Traditional,Utah,USA,"Nature, environment, fiction/nonfiction",Via website,N/A,UT,torreyhouse.com,Via website,8-10,NO AUDIOBOOKS,TIER 1,"Salt Lake City"
TravelBrains,Traditional,New Hampshire,USA,"Self-guided audio tours, guidebooks",Via website,N/A,NH,travelbrains.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1999"
WildBlue Press,Traditional,USA,USA,"True crime, thrillers, mysteries, memoir",Via website,N/A,N/A,wildbluepress.com,Via website,250+,Yes,Medium,"NYTimes/Pulitzer authors"
Steerforth Press,Traditional,USA,USA,"Narrative nonfiction, true crime, journalism",Via website,N/A,N/A,steerforth.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Investigative journalism"
Genius Book Publishing,Traditional,USA,USA,"True crime, dark fiction, sci-fi, thriller",Via website,N/A,N/A,geniusbookpublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Expanding press"
New Horizon Press,Traditional,USA,USA,"True crime, battles for justice, social issues",Via website,N/A,N/A,newhorizonpressbooks.com,Via website,12-14,NO AUDIOBOOKS,TIER 1,"Nonfiction focus"
Durvile Publications,Traditional,Calgary AB,Canada,"True crime, Indigenous stories, memoir",Via website,N/A,AB,durvile.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Canadian indie"
J. Gordon Shillingford,Traditional,Winnipeg MB,Canada,"Poetry, politics, true crime, biography",Via website,N/A,MB,jgshillingford.com,Via website,10,NO AUDIOBOOKS,TIER 1,"Since 1992"
Forest Avenue Press,Traditional,Portland OR,USA,"Literary fiction, diverse voices",Via website,N/A,OR,forestavenuepress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"BIPOC, queer focus"
Dove Christian Publishers,Traditional,USA,USA,"Christian fiction, self-help, devotionals",Via website,N/A,N/A,dovechristianpublishers.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Christian focus"
Running Press,Traditional,Philadelphia PA,USA,"Pop culture, lifestyle, gift books",Via Hachette,N/A,PA,runningpress.com,Via Hachette,N/A,Some,Medium,"Hachette imprint"
Globe Pequot Press,Traditional,Connecticut,USA,"Travel, outdoor, regional",Via website,N/A,CT,globepequot.com,Via website,N/A,Unknown,High,"Regional specialty"
Fulcrum Publishing,Traditional,Colorado,USA,"Western culture, Native American, nature",Via website,N/A,CO,fulcrum.bookstore.ipgbook.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Golden CO"
Johnson Books,Traditional,Colorado,USA,"Western US, outdoor, nature",Via website,N/A,CO,johnsonbooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Big Earth imprint"
High Plains Press,Traditional,Wyoming,USA,"Western history, nature, cowboy poetry",Via website,N/A,WY,highplainspress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Wyoming focus"
Filter Press,Traditional,Colorado,USA,"Western Americana, Colorado history",Via website,N/A,CO,filterpressbooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1955"
Two Dot (Globe Pequot),Traditional,Connecticut,USA,"Western history, true tales",Via website,N/A,CT,rowman.com/twodot,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Western Americana"
Mountain Press Publishing,Traditional,Montana,USA,"Natural history, geology, outdoors",Via website,N/A,MT,mountain-press.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1948"
Farcountry Press,Traditional,Montana,USA,"Regional photo books, nature, history",Via website,N/A,MT,farcountrypress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Montana focus"
Riverbend Publishing,Traditional,Montana,USA,"Montana history, outdoor, nature",Via website,N/A,MT,riverbendpublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Helena MT"
Hancock House Publishers,Traditional,Washington/Canada,USA/Canada,"Natural history, Pacific Northwest, birds",Via website,N/A,WA/BC,hancockhouse.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"1971 established"
Ooligan Press,Academic,Portland OR,USA,"Pacific NW interest, literary",Via website,N/A,OR,ooliganpress.pdx.edu,Via website,N/A,NO AUDIOBOOKS,TIER 1,"PSU student-run"
Caxton Press,Traditional,Idaho,USA,"Western history, outdoor, regional",Via website,N/A,ID,caxtonpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Idaho's oldest"
University of New Mexico Press,Academic,Albuquerque NM,USA,"Southwest, Native American, Western",Via website,N/A,NM,unmpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Southwest specialty"
University of Arizona Press,Academic,Tucson AZ,USA,"Southwest, Latin American, Indigenous",Via website,N/A,AZ,uapress.arizona.edu,Via website,N/A,Unknown,High,"Regional academic"
University of Oklahoma Press,Academic,Norman OK,USA,"Western history, Native American",Via website,N/A,OK,oupress.com,Via website,N/A,Unknown,High,"Native American specialty"
Texas Tech University Press,Academic,Lubbock TX,USA,"Western history, natural history, Texas",Via website,N/A,TX,ttupress.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Texas focus"
University of North Texas Press,Academic,Denton TX,USA,"Texas, Western, military history",Via website,N/A,TX,untpress.unt.edu,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Texas regional"
Texas A&M University Press,Academic,College Station TX,USA,"Texas, Southern, military, agriculture",Via website,N/A,TX,tamupress.com,Via website,N/A,Unknown,High,"Texas scholarly"
Southern Methodist University Press,Academic,Dallas TX,USA,"Texas, Southwest, ethics, religion",Via website,N/A,TX,smupress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Dallas academic"
TCU Press,Academic,Fort Worth TX,USA,"Texas, Western, biography",Via website,N/A,TX,prs.tcu.edu,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Texas Christian"
University of Nevada Press,Academic,Reno NV,USA,"Western history, Basque studies",Via website,N/A,NV,unpress.nevada.edu,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Nevada/Basque"
University of Utah Press,Academic,Salt Lake City UT,USA,"Western history, anthropology, archaeology",Via website,N/A,UT,uofupress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Utah regional"
Utah State University Press,Academic,Logan UT,USA,"Western, folklore, composition studies",Via website,N/A,UT,usupressacademic.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Utah scholarly"
